"","grid_no","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"115",92191,6.19067357375047,4.63289948258704,10.7302469503043,8.62699516490326,9.43851319229446,10.0546502785788,11.7840894259336,10.8921184750868,10.7125105145311,6.33072591174155,7.93057480899474,8.85816683962331,9.26144085436679
"116",106178,4.7698642208275,5.15944584637003,5.95013629978382,4.6646345894048,7.26817408939576,9.95426370310045,5.70736602040488,7.98600281843385,5.60356956319227,5.57254657520592,4.77115812531173,7.69343707600832,6.99523109469141
"117",108174,4.61503129856173,3.00800970817718,3.59928947553769,2.94832878169343,4.26600461283194,10.4347854855324,4.62808083930604,8.82618117805728,4.95466875538439,5.23153195005943,4.42784593674775,6.92100966843721,3.47020286011633
"118",108175,4.35451891146153,2.8946962907021,3.47469379405107,3.16548536023648,4.05217531034341,9.20245146071564,4.35213416465441,8.65427191674271,4.32884494811739,5.24402091672044,4.09491122615026,7.36298839083497,3.49056649387403
"119",108179,3.9967299606065,4.61958135225249,4.89493072846115,4.09407997872708,4.60452060544459,11.5055896540667,4.39764801936468,8.61212073881768,4.70504656768001,4.54221284028926,4.49920063319905,7.46332864549405,7.49451220245443
"120",105195,4.37490920943013,5.0353249677289,8.46806117046948,6.10448449684941,10.6548834790965,9.42129096922668,9.08069659202156,9.53217683558618,10.3886618111869,7.07756297085349,7.61069017265769,7.54599251599309,9.11085203676625
"121",105196,4.31476948612781,4.87559471596919,9.03097952775299,7.6871291418743,12.4037425013366,10.190267060638,11.0796426183913,10.5068753400854,10.6685049555214,9.03752008568729,8.62721663177065,8.37589546173033,9.59137987436003
"122",106195,4.00033337964507,4.83337336873332,7.17403706865235,5.71241841840119,8.66311429706631,9.11503653820153,8.45972796328928,7.83093199766544,7.56367508741131,5.48251480633948,7.2747175588987,7.9712183713666,9.92016824064612
"123",111193,3.01859613342705,4.11731715800674,4.41372011290385,4.00288830477215,6.5803216114936,10.3138413779474,7.20016299116335,7.70543987899455,3.23934853018565,3.58508669253392,5.75816731208105,5.81354294049878,9.41818642878604
"124",112189,3.29950077703327,3.78413520777485,3.61619452744688,5.67289182700535,7.10091497712156,9.42904390599953,6.07552265703969,5.33113403823049,3.06784762355262,4.79285849171141,4.22128095078541,5.63810304471596,5.94937828677694
